book_id	ISBN	title	Category	Author	Publisher	Publication_date
9780374602604001	9780374602604	Beautiful world, where are you	history	Rooney, Sally	Farrar, Straus and Giroux	2021
9780399588587001	9780399588587	Between two kingdoms : a memoir of a life interrupted	Philosophy	Jaouad, Suleika	Random House	2021
9780544947665001	9780544947665	The extended mind : the power of thinking outside the brain	language	Paul, Annie Murphy	Houghton Mifflin Harcourt	2021
9780593132425001	9780593132425	How beautiful we were : a novel	etc	Mbue, Imbolo	Random House	2021
9780593182710001	9780593182710	Life's edge : the search for what it means to be alive	technological science	Zimmer, Carl	Dutton, an imprint of Penguin Random House LLC	2021
9780593320167001	9780593320167	Chronicles from the land of the happiest people on earth	Philosophy	Soyinka, Wole	Pantheon Books	2020
9780593356821001	9780593356821	Velvet was the night	language	Moreno-Garcia, Silvia	Del Rey, an imprint of Random House, a division of Penguin Random House, LLC	2021
9780593423066001	9780593423066	Woke racism : how a new religion has betrayed Black America	Philosophy	McWhorter, John H	Portfolio/Penguin	2021
9780735224681001	9780735224681	American baby : a mother, a child, and the shadow history of adoption	etc	Glaser, Gabrielle	Viking	2020
9781250790767001	9781250790767	The plot	language	Korelitz, Jean Hanff	Celadon Books	2021
9781472937490001	9781472937490	Kindred : Neanderthal life, love, death and art	technological science	Wragg Sykes, Rebecca	Bloomsbury Sigma	2020
9781476785080001	9781476785080	The magician : a novel	Philosophy	Tóibín, Colm	Scribner	2021
9781524732325001	9781524732325	The war for Goria	art	Lish, Atticus	Alfred A. Knopf	2021
9781538716328001	9781538716328	Seeing ghosts : a memoir	digital	Chow, Kat	Grand Central Publishing	2021
9781594634574001	9781594634574	My year abroad	language	Lee, Chang-rae	Riverhead Books	2021
9781984826305001	9781984826305	Something new under the sun : a novel	social science	Kleeman, Alexandra	Hogarth	2021
9781984855121001	9781984855121	Our country friends : a novel	language	Shteyngart, Gary	Random House	2021
9781984878533001	9781984878533	The contrarian : Peter Thiel and Silicon Valley's pursuit of power	digital	Chafkin, Max	Penguin Press, an imprint of Penguin Random House LLC	2021
9780385545136001	9780385545136	Harlem shuffle	language	Whitehead, Colson	Doubleday, a division of Penguin Random House LLC	2021
9780385547215001	9780385547215	Beautiful country : a memoir	Philosophy	Wang, Qian Julie	Doubleday	2021
9780525655572001	9780525655572	Doomed romance : broken hearts, lost souls, and sexual tumult in Nineteenth-Century America	art	Heyrman, Christine Leigh	Alfred A. Knopf	2021
9780062671127001	9780062671127	The sentence : a novel	digital	Erdrich, Louise	Harper	2021
9780062942937001	9780062942937	The love songs of W.E.B. Du Bois : a novel	technological science	Jeffers, Honorée Fanonne	Harper, an imprint of HarperCollinsPublishers	2021
9780316492935001	9780316492935	How the word is passed : a reckoning with the history of slavery across America	religion	Smith, Clint	Little, Brown and Company	2021
9781631498909001	9781631498909	America on fire : the untold history of police violence and Black rebellion since the 1960s	Philosophy	Hinton, Elizabeth Kai	Liveright Publishing Corporation, a division of W.W. Norton ＆ Company	2021
9781250619358001	9781250619358	I came as a shadow : an autobiography	etc	Thompson, John	Henry Holt and Company	2020
9780374181178001	9780374181178	Crossroads	art	Franzen, Jonathan	Farrar, Straus and Giroux	2021
9780374602390001	9780374602390	The Copenhagen trilogy : Childhood; Youth; Dependency	language	Ditlevsen, Tove Irma Margit	Farrar, Straus and Giroux	2021
9780399563423001	9780399563423	The morning star	literature	Knausgård, Karl Ove	Penguin Press	2021
9780593316047001	9780593316047	Say it loud! : on race, law, history, and culture	literature	Kennedy, Randall	Pantheon Books	2021
9780735222359001	9780735222359	The Lincoln highway	Philosophy	Towles, Amor	Viking, an imprint of Penguin Random House LLC	2021
9780812986945001	9780812986945	Invisible child : poverty, survival, and hope in an American city	natural science	Elliott, Andrea	Random House, an imprint and division of Penguin Random House LLC	2021
9781501192623001	9781501192623	The chancellor : the remarkable odyssey of Angela Merkel	literature	Marton, Kati	Simon ＆ Schuster	2021
9781982149789001	9781982149789	New York, New York, New York : four decades of success, excess, and transformation	technological science	Dyja, Tom	Simon ＆ Schuster	2021
9781982168438001	9781982168438	Cloud cuckoo land : a novel	history	Doerr, Anthony	Scribner	2021
9780316561693001	9780316561693	All the frequent troubles of our days : the true story of the American woman at the heart of the German resistance to Hitler	natural science	Donner, Rebecca	Little, Brown and Company	2021
9780385545686001	9780385545686	Empire of pain : the secret history of the Sackler dynasty	natural science	Keefe, Patrick Radden	Doubleday	2021
9780197550779001	9780197550779	The American war in Afghanistan : a history	language	Malkasian, Carter	Oxford University Press	2021
9780374158453001	9780374158453	The free world : art and thought in the Cold War	natural science	Menand, Louis	Farrar, Straus and Giroux	2021
9780393247718001	9780393247718	The family Roe : an American story	language	Prager, Joshua	W.W. Norton ＆ Company	2021
9780307271815001	9780307271815	America and Iran : a history, 1720 to the present	technological science	Ghazvinian, John	Alfred A. Knopf	2021
9780307405449001	9780307405449	Catching the wind : Edward Kennedy and the liberal hour	history	Gabler, Neal	Crown	2020
9780307961167001	9780307961167	Red comet : the short life and blazing art of Sylvia Plath	literature	Clark, Heather L	Alfred A. Knopf	2020
9780374185138001	9780374185138	Let the record show : a political history of ACT UP New York, 1987-1993	literature	Schulman, Sarah	Farrar, Straus and Giroux	2021
9780374200091001	9780374200091	Putting it together : how Stephen Sondheim and I created "Sunday in the park with George"	history	Lapine, James	Farrar, Straus and Giroux	2021
9780812997132001	9780812997132	JFK : coming of age in the American century, 1917-1956	Philosophy	Logevall, Fredrik	Random House	2020
9781324002765001	9781324002765	Churchill's shadow : the life and afterlife of Winston Churchill	etc	Wheatcroft, Geoffrey	W. W. Norton ＆ Company	2021
9781524748739001	9781524748739	The engagement : America's quarter-century struggle over same-sex marriage	literature	Issenberg, Sasha	Pantheon Books	2021
9781101875506001	9781101875506	A whole world : letters from James Merrill	art	Hammer, Langdon	Alfred A. Knopf	2021
9780593318171001	9780593318171	Klara and the sun	language	Ishiguro, Kazuo	Alfred A. Knopf	2021
9788937491474001	9788937491474	책 만드는 일	Philosophy	박혜진	민음사	2021
9788932038339001	9788932038339	소설 보다	social science	김멜라	문학과지성사	2021
9788932038339002	9788932038339	소설 보다	natural science	김멜라	문학과지성사	2021
9788932038339003	9788932038339	소설 보다	social science	김멜라	문학과지성사	2021
9788937417689001	9788937417689	쏜살같이	etc	민음사	민음사	2021
9788932039138001	9788932039138	시 보다 2021	language	강보원	문학과지성사	2021
9788954685887001	9788954685887	젊은작가상 수상작품집	language	임솔아	문학동네	2022
9788955864830001	9788955864830	체스 이야기	history	Zweig, Stefan	세창미디어	2021
9788932038612001	9788932038612	스키드	literature	윤지양	문학과지성사	2021
9788932038698001	9788932038698	나비가 숨은 어린나무	history	김용택	문학과지성사	2021
9788932038735001	9788932038735	울려고 일어난 겁니다	language	김경후	문학과지성사	2021
9788932039183001	9788932039183	아름답습니까	social science	권박	문학과지성사	2021
9788932039268001	9788932039268	때때로 캥거루	literature	임지은	문학과지성사	2021
9788932039527001	9788932039527	눈부신 디테일의 유령론	art	안미린	문학과지성사	2022
9788936424589001	9788936424589	봄밤이 끝나가요, 때마침 시는 너무 짧고요	literature	최지은	창비	2021
9788936424596001	9788936424596	혼자의 넓이	technological science	이문재	창비	2021
9788936424640001	9788936424640	서로에게 기대서 끝까지	social science	정다연	창비	2021
9788936424701001	9788936424701	햇볕 쬐기	art	조온윤	창비	2022
9788937463907001	9788937463907	찻집	natural science	노사	민음사	2021
9791137262461001	9791137262461	못생긴 게 예뻐가지고	language	오마르 디프트	부크크	2021
9791191440911001	9791191440911	실라캔스를 찾아서	art	이건청	북치는마을	2021
9788955866636001	9788955866636	왜구, 그림자로 살다	language	윤성익	세창미디어	2021
9788965292944001	9788965292944	반지성 주의보	art	현병호	씽크스마트	2021
9788937429811001	9788937429811	정원 가꾸는 사람의 열두 달	literature	Čapek, Karel	민음사	2021
9791167370242001	9791167370242	외모 강박	etc	김종갑	은행나무	2021
9791167370259001	9791167370259	나이 듦	etc	최은주	은행나무	2021
9791167370266001	9791167370266	취향	digital	심귀연	은행나무	2021
9791167370365001	9791167370365	혐오	natural science	김종갑	은행나무	2021
9791167370372001	9791167370372	사랑	language	임지연	은행나무	2021
9791167370389001	9791167370389	공유	religion	박신현	은행나무	2021
9791167370631001	9791167370631	자아	religion	김석	은행나무	2021
9791167370648001	9791167370648	선택	technological science	김운하	은행나무	2021
9791167370655001	9791167370655	죽음	religion	최은주	은행나무	2021
9791167370907001	9791167370907	기억	language	서길완	은행나무	2021
9791197509605001	9791197509605	오늘부터 다시 스무 살입니다	literature	김미경	블루웨일	2022
9788932921952001	9788932921952	생태의 시대와 DMZ	digital	최재천	열린책들	2021
9788937409059001	9788937409059	백지에게	literature	김언	민음사	2021
9788937409066001	9788937409066	재의 얼굴로 지나가다	religion	오정국	민음사	2021
9788937409073001	9788937409073	커다란 하양으로	art	강정	민음사	2021
9788937409097001	9788937409097	좋아하는 것들을 죽여 가면서	etc	임정민	민음사	2021
9788937409134001	9788937409134	라흐 뒤 프루콩 드 네주 말하자면 눈송이의 예술	language	박정대	민음사	2021
9788937409141001	9788937409141	나랑 하고 시픈게 뭐에여?	art	최재원	민음사	2021
9788937477003001	9788937477003	작가	natural science	Borges, Jorge Luis	민음사	2021
9788937491498001	9788937491498	권위	social science	조무원	민음사	2021
9788937491511001	9788937491511	중독	etc	김지효	민음사	2022
9788954679190001	9788954679190	무한한 밤 홀로 미러볼 켜네	technological science	서윤후	문학동네	2021
9788954680011001	9788954680011	누가 홀로 술틀을 밟고 있는가	etc	고정희	문학동네	2021
9788954680059001	9788954680059	오, 가엾은 비눗갑들	religion	이선영	문학동네	2021
9788954680073001	9788954680073	자작나무 내 인생	etc	정끝별	문학동네	2021
9788954680615001	9788954680615	발이 없는 나의 여인은 노래한다	technological science	장혜령	문학동네	2021
9788954681636001	9788954681636	나비가면	technological science	박지웅	문학동네	2021
9788954681827001	9788954681827	비에 도착하는 사람들은 모두 제시간에 온다	religion	신용목	문학동네	2021
9788954682107001	9788954682107	그 일 말고는 아무 일도 일어나지 않았다	history	김유태	문학동네	2021
9788954682169001	9788954682169	대답이고 부탁인 말	Philosophy	이현승	문학동네	2021
9788954682527001	9788954682527	(2021)김승옥문학상 수상작품집	literature	문진영	문학동네	2021
9788954682718001	9788954682718	다 먹을 때쯤 영원의 머리가 든 매운탕이 나온다	Philosophy	김현	문학동네	2021
9788954682763001	9788954682763	누가 지금 내 생각을 하는가	technological science	이윤설	문학동네	2021
9788954683517001	9788954683517	가능주의자	Philosophy	나희덕	문학동네	2021
9788954684422001	9788954684422	음시	natural science	함기석	문학동네	2022
9788960215573001	9788960215573	비로소 별이 되는가?	language	해인	천년의시작	2021
9788960215580001	9788960215580	두방리에는 꽃꼬리새가 산다	social science	장욱	천년의시작	2021
9788961876544001	9788961876544	(조선의 역사 전문 외교관) 유득공	technological science	임상선	동북아역사재단	2021
9788970715582001	9788970715582	탈성장	literature	Petrella, Riccardo	대장간	2021
9788998766245001	9788998766245	(본질적인) 애덤 스미스	digital	Otteson, James	리버티	2021
9791157284443001	9791157284443	낙타에게 미안해	art	이섬	지혜	2021
9791158965174001	9791158965174	아직 나는 당신을 처리 중입니다	digital	황중하	문학의전당	2021
9791158965198001	9791158965198	당신을 필사해도 되겠습니까	etc	조영란	시인동네	2021
9791158965242001	9791158965242	홀가분해서 오히려 충분한	religion	김제숙	시인동네	2021
9791158965273001	9791158965273	소년과 뱀과 소녀를	technological science	권순자	시인동네	2021
9791158965389001	9791158965389	브로콜리 마음과 당신의 마음	Philosophy	강미영	시인동네	2021
9791158965396001	9791158965396	내가 새가 아니어야 하는 이유	natural science	나정호	시인동네	2021
9791159171789001	9791159171789	대전환 시대의 한일관계	etc	한일관계 개선방안 연구 TF	제이앤씨	2021
9791159171864001	9791159171864	한일의 코로나19 대응, 차이와 협력의 가능성	technological science	김연수	제이앤씨	2021
9791160782158001	9791160782158	따결	natural science	이환식	다산글방	2021
9791162431931001	9791162431931	가문비나무가 연주하는 초록의 칸타빌레	religion	주영희	시산맥사	2021
9791166034558001	9791166034558	행복을 주고받는 집	technological science	유상조	한국학술정보	2021
9791167700087001	9791167700087	귀촌하는 법	etc	이보현	유유	2021
9791167700179001	9791167700179	카피 쓰는 법	digital	이유미	유유	2021
9791187023197001	9791187023197	어느 지질학자의 삶과 앎	natural science	양승영	참	2021
9791188700851001	9791188700851	코로나 시대, 피부도 병들고 있습니다	social science	정진호	청림Life	2021
9791189467258001	9791189467258	지금부터는 나의 입장	art	유계영	아침달	2021
9791190351959001	9791190351959	이반 일리치 강의	art	이희경	북튜브	2021
9791191193237001	9791191193237	아홉수 가위	religion	범유진	안전가옥	2021
9791191193299001	9791191193299	짝꿍	religion	이두온	안전가옥	2021
9791191262490001	9791191262490	그 눈들을 밤의 창이라 부른다	natural science	손진은	걷는사람	2021
9791191262599001	9791191262599	색색의 알약들을 모아 저울에 올려놓고	social science	이지호	걷는사람	2021
9791191651027001	9791191651027	B컷 일지	etc	염주희	월간토마토	2021
9791191938005001	9791191938005	너의 경우	literature	이미란	예서	2021
9788937429828001	9788937429828	죽은 나무를 위한 애도	digital	Hesse, Hermann	민음사	2021
9791197646775001	9791197646775	보이지 않는 곳에서 애쓰고 있는 너에게	religion	최대호	RISE	2021
9791159350894001	9791159350894	수어	art	이미화	글담	2021
9791168011182001	9791168011182	공학도를 위한 비판적 사고 교육	social science	황영미	한국학술정보	2021
9791186372838001	9791186372838	생의 실루엣	social science	궁본휘	봄날의책	2021
9791190178891001	9791190178891	원전 마을	language	김우창	한티재	2022
9791197103810001	9791197103810	검은 고양이가 안내하는 세계	etc	정선엽	[시옷이응]	2021
9791197237287001	9791197237287	2146, 529	digital	이현	온다	2022
9791130314037001	9791130314037	(스포츠 마케팅) 광고주에게 팔리는 제안서	social science	노창기	박영사	2022
9791165218119001	9791165218119	카페에서 공부하는 할머니	history	심혜경	더퀘스트	2022
9791191187427001	9791191187427	카레 만드는 사람입니다	digital	김민지	세미콜론	2021
9791191187441001	9791191187441	병원의 밥	digital	정의석	세미콜론	2021
9791191187458001	9791191187458	아무렇지 않을 준비가 되었어	digital	룬아	세미콜론	2021
9791192107424001	9791192107424	부엌의 탄생	digital	김자혜	세미콜론	2022
9788934949213001	9788934949213	AI는 어떻게 세상을 바꾸는가	language	장동선	김영사	2022
9788983928641001	9788983928641	지구를 항해하는 초록 배에 탑니다	literature	김연식	문학수첩	2021
9788983928849001	9788983928849	소리를 디자인하는 사람	etc	고지인	문학수첩	2021
9791156625889001	9791156625889	그 꿈이 있어 여기까지 왔다	history	이재명	아시아	2022
9788965292814001	9788965292814	밥풀을 긁어내는 마음으로	Philosophy	이은용	씽크스마트	2021
9791190533089001	9791190533089	다른 딸	history	Ernaux, Annie	1984Books	2021
9788932038452001	9788932038452	불신시대	art	박경리	문학과지성사	2021
9788932039008001	9788932039008	크루아상 사러 가는 아침	social science	Delerm, Philippe	문학과지성사	2021
9788932039374001	9788932039374	#생태_시	religion	이혜원	문학과지성사	2021
9788932039466001	9788932039466	카프카의 아포리즘	natural science	Kafka, Franz	문학과지성사	2021
9788932405056001	9788932405056	물망초	literature	길옥신자	을유문화사	2021
9788932921976001	9788932921976	스크린으로 만나는 한반도	technological science	강성률	열린책들	2021
9788932921983001	9788932921983	DMZ를 보고합니다	literature	김담	열린책들	2021
9788932921990001	9788932921990	베를린에서 만난 서울과 평양	literature	정진헌	열린책들	2021
9788936515027001	9788936515027	환대	digital	김희준	홍성사	2021
9788946422025001	9788946422025	공부란 무엇인가	art	한근태	샘터	2021
9788954447065001	9788954447065	어크로스 더 투니버스	social science	임국영	자음과모음	2021
9788954447157001	9788954447157	마음만 먹으면	Philosophy	장진영	자음과모음	2021
9788954447300001	9788954447300	팀플레이	natural science	조우리	자음과모음	2021
9788954447546001	9788954447546	일주일	literature	최진영	자음과모음	2021
9788954447898001	9788954447898	꿈만 꾸는 게 더 나았어요	digital	심너울	자음과모음	2021
9788954682756001	9788954682756	루시	digital	Kincaid, Jamaica	문학동네	2021
9788958207269001	9788958207269	청년 도배사 이야기	art	배윤슬	궁리	2021
9788958207443001	9788958207443	채링크로스 84번지	language	Hanff, Helene	궁리	2021
9788959130580001	9788959130580	한 스푼의 시간	art	구병모	위즈덤하우스	2016
9788967358990001	9788967358990	여섯 개의 폭력	digital	이은혜	글항아리	2021
9788983928856001	9788983928856	크랭크 팰리스	literature	Dashner, James	문학수첩	2021
9788989285762001	9788989285762	프랑스 포도주 즐기기	natural science	전경준	한국교원대학교 출판문화원	2021
9788996387015001	9788996387015	도시의 속살 엿보기	history	최병대	아이에스디앤피	2021
9791128816420001	9791128816420	라이브 커머스	Philosophy	배기형	커뮤니케이션북스	2021
9791128816512001	9791128816512	새로운 설득	religion	이현우	커뮤니케이션북스	2021
9791128816604001	9791128816604	문화콘텐츠와 선택의 동기	art	김정우	커뮤니케이션북스	2022
9791128816888001	9791128816888	북한 드라마	literature	한승호	커뮤니케이션북스	2022
9791130312439001	9791130312439	(사례를 통해 살펴본) 한국의 환경외교	digital	김찬우	박영사	2021
9791133489848001	9791133489848	눈토끼 식당 차림표	art	소주유귀	대원씨아이	2022
9791139200300001	9791139200300	블랙 가디언스	literature	홍강의	지식과감성#	2021
9791139203240001	9791139203240	나의 딸, 나의 삶	language	홍득표	지식과감성#	2022
9791155330340001	9791155330340	쓰레기 TMI	art	한겨레21	한겨레21	2021
9791158666446001	9791158666446	조선에서 만난 원제국 법률문서	natural science	조원	한국학중앙연구원출판부	2021
9791159171833001	9791159171833	일본의 저출산 대책은 왜 실패했는가?	history	산전창홍	제이앤씨	2021
9791159714085001	9791159714085	우주비행사에 대한 모든 것	literature	Perri, Luca	북스힐	2022
9791160407594001	9791160407594	혼자 점심 먹는 사람을 위한 시집	technological science	강혜빈	한겨레	2022
9791160870800001	9791160870800	연환기	social science	행전로반	연암서가	2021
9791160948752001	9791160948752	세대주 오영선	etc	최양선	사계절	2021
9791163721253001	9791163721253	국가와 농민 사이, 면서기의 경험과 심성	Philosophy	이정덕	전북대학교출판문화원	2021
9791165450977001	9791165450977	데미안을 찾아서	language	남민우	바른북스	2020-2022
9791165456061001	9791165456061	국가의 해부	social science	Rothbard, Murray N	바른북스	2022
9791165456146001	9791165456146	침몰이냐 성장이냐, 회사를 살리는 직원관리 대책	technological science	권능오	바른북스	2022
9791166290626001	9791166290626	어떤 죽음	digital	이상덕	모시는사람들	2022
9791166980718001	9791166980718	절기따라 만나는 생태이야기	social science	신경아	국립생태원	2022
9791167371249001	9791167371249	우리가 서로를 잊지 않는다면	natural science	김여정	은행나무	2022
9791167422828001	9791167422828	(대학생을 위한) 말하기 이론과 실제	digital	이동욱	역락	2022
9791167900807001	9791167900807	現代文學賞 수상시집	digital	이제니	현대문학	2021
9791186602713001	9791186602713	아무튼, 노래	natural science	이슬아	위고	2022
9791187147763001	9791187147763	어떻게 죽음을 맞이할 것인가?	natural science	Seneca, Lucius Annaeus	아날로그	2021
9791187481928001	9791187481928	(흥미진진) 북극전략	religion	서현교	지식노마드	2021
9791187638704001	9791187638704	장애가 장애가 되지 않게	art	마선옥	문진	2021
9791187643913001	9791187643913	당신의 가장 중심	etc	강이라	리잼	2021
9791187648055001	9791187648055	(싱귤래리티 투자자의 출사표) 가치투자 4.0	Philosophy	류종현	한국주식가치평가원	2022
9791187789345001	9791187789345	마음의 일렁임은 우리 안에 머물고	language	강수정	테오리아	2021
9791187789369001	9791187789369	제법, 나를 닮은 첫 음악	language	권민경	테오리아	2022
9791188375257001	9791188375257	디어 프루던스	etc	성야지행	그물코	2021
9791188605231001	9791188605231	아무튼, 무대	literature	황정원	코난북스	2022
9791188679133001	9791188679133	르코르뷔지에 미워	art	길전연개	집	2021
9791188840076001	9791188840076	너에게 출근	social science	오창열	레몬컬쳐	2021
9791188862993001	9791188862993	행성표류기	social science	김희준	난다	2021
9791189074432001	9791189074432	결제의 희열	literature	한재동	눌와	2021
9791189433383001	9791189433383	죽은 불	religion	노신	읻다	2021
9791190186131001	9791190186131	멸종	language	Dawson, Ashley	두번째테제	2021
9791190278812001	9791190278812	이까짓, 민트초코	natural science	김경빈	봄름	2021
9791190292122001	9791190292122	일리아스 또는 힘의 시	natural science	Weil, Simone	리시올	2021
9791190422703001	9791190422703	식물의 시간	social science	안희제	오월의봄	2021
9791190422970001	9791190422970	병역거부의 질문들	language	이용석	오월의봄	2021
9791190475501001	9791190475501	사회적 유럽 선언	literature	Crouch, Colin	페이퍼로드	2021
9791190533096001	9791190533096	그리움의 정원에서	etc	Bobin, Christian	1984Books	2021
9791190844147001	9791190844147	웃음	art	Bergson, Henri	이소노미아	2021
9791191201109001	9791191201109	사막에서	social science	임만규	열린	2021
9791191503333001	9791191503333	미·중 경쟁시대와 한국의 대응	language	진창수	윤성사	2021
9791191652468001	9791191652468	다문화 쇼크	social science	김무인	스리체어스	2022
9791191859003001	9791191859003	짧은 이야기들	social science	Carson, Anne	난다	2021
9791192134079001	9791192134079	눈부시게 아름다웠던 나의 봄에게	Philosophy	한섬	꿈공장 플러스	2022
9791196472931001	9791196472931	사람이 마을입니다	natural science	노수현	마음대로	2021
9791196770723001	9791196770723	위스키 위스키 간판이 없는 바의 새벽	art	서홍주	프랙티컬프레스	2021
9791197283925001	9791197283925	내 사랑은 소품처럼 놓아두어야지	language	홍성민	보름달데이	2021
9791197593000001	9791197593000	(우리 삶을 바꾸는 도시) 넥스트시티	etc	김동근	더포스트	2021
9791197640001001	9791197640001	평범한 대화	etc	유인비	흠영	2022
9788954680400001	9788954680400	에세이스트의 책상	technological science	배수아	문학동네	2021
9788954680424001	9788954680424	부주의한 사랑	religion	배수아	문학동네	2021
9788954681230001	9788954681230	녹색 커튼으로	technological science	강희영	문학동네	2021
9788954683258001	9788954683258	바퀴벌레	history	McEwan, Ian	문학동네	2021
9788956594088001	9788956594088	생각 무게 줄이기	history	Smith, Gwendoline	예문	2021
9788978580953001	9788978580953	잘 버리는 법	language	김세진	다락방	2021
9791166034367001	9791166034367	어제도 오늘도 퇴준생입니다	digital	박철홍	이담북스	2021
9791189129958001	9791189129958	그대는 돌아보지 않고 찬란하게 진다	technological science	배성희	꿈공장 플러스	2021
9791189571603001	9791189571603	영원을 찾아서	etc	원전마하	블루홀식스	2021
9791190337755001	9791190337755	죽이고 싶은 아이	etc	이꽃님	우리학교	2021
9791190727686001	9791190727686	백석이 사랑한 시, 나즘 히크메트	digital	Nâzım Hikmet	태학사	2021
9791197444609001	9791197444609	그대 안에 내가 있다면	literature	최홍석	마음시회	2021
9788932912714001	9788932912714	심판의 날의 거장	religion	Perutz, Leo	열린책들	2021
9788932912752001	9788932912752	평범한 인생	art	Čapek, Karel	열린책들	2021
9788932919126001	9788932919126	고양이	technological science	Werber, Bernard	열린책들	2018
9788932919126002	9788932919126	고양이	literature	Werber, Bernard	열린책들	2018
9788932920917001	9788932920917	너의 심장을 쳐라	Philosophy	Nothomb, Amélie	열린책들	2021
9788932921112001	9788932921112	나의 여왕	technological science	Andrea, Jean-Baptiste	열린책들	2021
9788932921129001	9788932921129	친구	language	Nunez, Sigrid	열린책들	2021
